model,time,data_file,moves,result,iteration
openai/gpt-oss-20b,23.260844250005903,3_18.txt,RRRDDUDUUDDDDUUUULLLDDDDDRRRLR,unsolved,2
openai/gpt-oss-20b,21.36519212499843,3_18.txt,RRRDDDDUUULULDDDDDRRR,success,2
Qwen/Qwen3-235B-A22B-Thinking-2507,297.2142317500038,3_18.txt,DRRRDDDUUULLLDDDDRRRR,success,1
Qwen/Qwen3-235B-A22B-Thinking-2507,320.3069263750004,4_0.txt,RRRRUUUULLDDDUUUULLDDDDDRRRR,success,1
openai/gpt-oss-20b,9.265275708000445,3_15.txt,RRR,success,1
openai/gpt-oss-20b,15.126736000000164,3_17.txt,URDLDRRR,success,1
openai/gpt-oss-20b,34.77915133300121,4_1.txt,UULLLLRUULLDDDURRRDDRDLLL,success,2
Qwen/Qwen3-235B-A22B-Thinking-2507,492.4449164159996,4_1.txt,UUUULDDLDDRRDLLLLRRRRUUULLLLRRRRUULLLLLDDDUUUULDDLDDRRDLLLLRRRRUUULLLLRRRRUULLLLLDDD,success,2
openai/gpt-oss-120b,88.37917600000219,4_1.txt,UULLLLRUULLDDDUUURRRRRDDLLDDRDLLL,success,1
Qwen/Qwen3-Coder-480B-A35B-Instruct-Turbo,31.60213300000032,4_1.txt,,invalid,2
deepseek-ai/DeepSeek-V3.1,36.310705416999554,4_1.txt,,invalid,2
google/gemini-2.5-flash,41.274380415998166,4_1.txt,UULLDDRDLLLRRUUULLRRRRUULLLLLDDD,success,1
deepseek-ai/DeepSeek-V3-0324,38.99363179200009,4_1.txt,,invalid,2
openai/gpt-oss-20b,103.67555399999765,3_7.txt,,invalid,2
openai/gpt-oss-20b,44.3189112910004,3_5.txt,UUUURDDDUURRRDDUULLDDDRR,success,2
openai/gpt-oss-20b,174.02824800000235,3_5.txt,,invalid,2
openai/gpt-oss-20b,51.04328083399741,3_5.txt,UUUURRDRRDDUULLDDDRRLLLUULUURDDD,success,2
openai/gpt-oss-20b,28.9464717080009,3_3.txt,URDDLDRRRURD,success,1
openai/gpt-oss-20b,129.80762500000128,4_1.txt,UUUULLLDDRDDRDLLLRUURULRLLRUULLDDD,success,2
openai/gpt-oss-20b,99.14240416699612,4_1.txt,UULLLLRUULLDDDURRRDDRDLLL,success,2
google/gemini-2.5-flash,30.910205707994464,4_1.txt,,invalid,2
google/gemini-2.5-flash,43.65327874999639,4_1.txt,UULLDDRDLLLRRUUULLRRRRUULLLLLDDD,success,1
deepseek-ai/DeepSeek-R1-0528-Turbo,119.4988577089971,4_1.txt,UDLRUULLDDRRDLLLLRRRRUUULLLLRRRRUULLLLLDDDUUULLDDRRDLLLLRRRRUUULLLLRRRRUULLLLLDDD,success,2
